applicant_id,applicant_age,applicant_gender,employment_type,employment_years,annual_income_lakh,loan_purpose,loan_amount_lakh,loan_tenure_months,interest_rate_pct,credit_score,credit_grade,num_credit_accounts,existing_emis,months_since_last_default,debt_to_income_ratio,total_assets_lakh,property_ownership,state_name,geographic_tier,default_flag
APP000001,60,Female,Salaried,3.8,13.8,Auto Loan,4.81,36,12.88,766,AA,6,1,999.0,0.12,75.28,Own,Andhra Pradesh,Tier-2,No
APP000002,50,Female,Self-Employed,4.6,5.72,Business Loan,6.73,240,14.8,740,A,8,0,999.0,0.0,51.33,Parental,Kerala,Tier-2,No
APP000003,36,Male,Business Owner,6.6,16.03,Business Loan,21.63,36,15.38,694,BBB,1,5,999.0,0.6,146.31,Own,Haryana,Tier-2,No
APP000004,64,Male,Salaried,1.6,19.64,Personal Loan,4.89,60,10.18,688,BBB,7,0,78.0,0.0,93.91,Rented,Maharashtra,Tier-1,No
APP000005,29,Male,Self-Employed,2.6,8.93,Home Loan,8.74,60,7.0,759,AA,6,2,999.0,0.24,52.46,Own,Uttar Pradesh,Tier-3,No
APP000006,42,Male,Self-Employed,4.7,5.96,Personal Loan,2.44,120,12.63,611,BB,7,5,999.0,0.6,42.67,Own,Chhattisgarh,Tier-3,No
APP000007,60,Female,Salaried,0.5,7.35,Personal Loan,2.62,48,12.16,735,A,9,1,90.0,0.12,50.69,Rented,Uttar Pradesh,Tier-3,No
APP000008,40,Female,Salaried,9.0,8.01,Home Loan,14.88,48,12.53,809,AAA,5,2,999.0,0.24,38.37,Rented,Odisha,Tier-3,No
APP000009,44,Male,Salaried,2.1,5.25,Personal Loan,1.59,48,11.74,607,BB,2,2,999.0,0.24,19.67,Parental,Madhya Pradesh,Tier-2,No
APP000010,32,Female,Self-Employed,5.4,26.88,Home Loan,22.52,120,17.04,548,B,3,5,110.0,0.6,39.28,Rented,West Bengal,Tier-1,Yes
APP000011,32,Male,Salaried,27.1,9.12,Auto Loan,6.0,120,13.55,537,B,1,3,5.0,0.36,23.17,Own,Haryana,Tier-2,Yes
APP000012,45,Male,Salaried,,18.25,Business Loan,25.07,48,14.47,615,BB,7,0,999.0,0.0,67.74,Parental,Maharashtra,Tier-1,No
APP000013,57,Female,Salaried,1.2,16.3,Gold Loan,2.92,48,9.24,731,A,4,1,999.0,0.12,129.63,Rented,Maharashtra,Tier-1,No
APP000014,61,Male,Salaried,1.2,23.0,Education Loan,5.06,36,9.4,676,BBB,8,1,999.0,0.12,77.77,Own,Andhra Pradesh,Tier-2,No
APP000015,45,Male,Self-Employed,0.5,5.42,Home Loan,10.55,60,8.63,691,BBB,7,3,999.0,0.36,36.56,Parental,Karnataka,Tier-1,No
APP000016,24,Male,Self-Employed,7.3,15.44,Home Loan,18.06,48,7.22,647,BB,8,5,999.0,0.6,29.59,Rented,Assam,Tier-3,No
APP000017,43,Male,Salaried,1.7,6.84,Home Loan,9.91,48,8.61,581,B,9,1,999.0,0.12,64.46,Own,Jharkhand,Tier-3,No
APP000018,23,Female,Self-Employed,0.9,10.02,Personal Loan,5.0,36,11.33,670,BBB,5,1,999.0,0.12,16.08,Own,Telangana,Tier-1,No
APP000019,45,Female,Self-Employed,6.3,5.98,Home Loan,8.52,60,7.16,678,BBB,5,4,73.0,0.48,27.39,Rented,Telangana,Tier-1,No
APP000020,51,Male,Salaried,1.8,32.42,Education Loan,15.75,48,7.0,806,AAA,2,4,999.0,0.48,50.36,Own,Tamil Nadu,Tier-1,No
APP000021,59,Male,Salaried,4.6,6.02,Home Loan,9.01,120,11.96,753,AA,1,1,999.0,0.12,50.27,Own,Andhra Pradesh,Tier-2,No
APP000022,23,Female,Business Owner,2.7,20.68,Personal Loan,1.21,48,11.31,608,BB,1,4,97.0,0.48,140.87,Own,Rajasthan,Tier-2,No
APP000023,42,Female,Self-Employed,2.0,5.34,Education Loan,0.79,84,12.37,664,BBB,2,2,97.0,0.24,45.85,Own,Delhi NCT,Tier-1,No
