customer_id,customer_age,gender,occupation_category,monthly_income_lakh,monthly_expenses_lakh,total_savings_lakh,total_investments_lakh,total_debt_lakh,primary_bank,num_products_held,account_tenure_months,avg_monthly_transaction_count,digital_engagement_score,credit_utilization_pct,investment_preference,risk_appetite,customer_city_tier
CUST0000001,67,Male,Business Owner,1.307,0.831,66.0,59.82,5.39,Kotak Mahindra,8,177,112,42.1,70.5,Real Estate,Moderate,Tier-2
CUST0000002,30,Male,IT/Tech,0.953,0.415,70.11,69.96,41.15,Axis Bank,6,205,73,59.0,58.2,Mutual Funds,Moderate,Tier-1
CUST0000003,50,Female,IT/Tech,1.215,0.772,112.72,56.74,24.31,Kotak Mahindra,3,215,46,44.6,54.7,Real Estate,Low,Tier-3
CUST0000004,30,Female,Other,0.3,0.183,20.44,5.64,9.56,PNB,8,57,28,39.7,57.0,Mutual Funds,Moderate,Tier-2
CUST0000005,53,Female,Healthcare,0.454,0.236,20.19,2.04,2.72,Kotak Mahindra,1,189,47,65.8,35.9,Equity,Moderate,Tier-1
CUST0000006,44,Female,Business Owner,1.606,1.305,98.36,50.76,72.97,ICICI Bank,1,121,21,55.2,25.8,Fixed Deposits,High,Tier-2
CUST0000007,56,Male,Banking/Finance,0.846,0.547,51.24,20.04,34.24,PNB,8,239,18,51.1,31.7,Mutual Funds,High,Tier-1
CUST0000008,41,Male,Banking/Finance,0.722,0.307,18.61,17.75,3.67,PNB,8,292,108,57.2,37.5,Gold,High,Tier-1
CUST0000009,36,Female,Manufacturing,0.3,0.146,28.13,19.42,10.74,PNB,2,28,89,79.1,12.0,Fixed Deposits,Low,Tier-1
CUST0000010,74,Female,Healthcare,0.3,0.172,2.37,2.78,17.82,ICICI Bank,2,196,37,64.6,24.2,Equity,Low,Tier-3
CUST0000011,44,Male,Business Owner,0.827,0.369,69.7,15.65,34.33,Axis Bank,7,252,9,46.5,23.2,None,Moderate,Tier-2
CUST0000012,60,Female,Business Owner,1.156,0.701,9.28,7.18,59.88,Other,6,150,31,64.1,33.0,Fixed Deposits,High,Tier-1
CUST0000013,43,Female,Government,0.597,0.243,28.8,1.82,20.75,Kotak Mahindra,5,84,49,46.3,28.1,Mutual Funds,Low,Tier-3
CUST0000014,65,Male,IT/Tech,1.008,0.761,10.88,6.05,36.7,Other,7,203,48,45.8,76.9,Mutual Funds,Moderate,Tier-3
CUST0000015,39,Male,Other,0.458,0.293,32.59,6.34,11.15,Kotak Mahindra,3,61,72,9.4,58.9,Mutual Funds,Moderate,Tier-3
CUST0000016,38,Male,Healthcare,0.863,0.521,20.39,24.5,19.0,PNB,5,54,89,74.5,62.0,Equity,Moderate,Tier-3
CUST0000017,69,Male,IT/Tech,1.104,0.532,28.32,39.31,5.28,HDFC Bank,8,122,46,65.7,4.6,Fixed Deposits,Moderate,Tier-2
CUST0000018,57,Male,Manufacturing,0.466,0.304,20.49,24.3,14.63,HDFC Bank,5,258,8,76.8,50.2,Hybrid,Low,Tier-2
CUST0000019,42,Male,Other,0.419,0.262,37.64,12.67,14.89,SBI,1,38,64,46.4,46.1,Fixed Deposits,Moderate,Tier-3
CUST0000020,42,Female,Business Owner,2.09,1.536,188.04,260.16,84.16,SBI,3,101,6,38.7,34.7,Hybrid,Low,Tier-3
CUST0000021,27,Female,Other,0.662,0.471,27.23,21.66,0.72,HDFC Bank,6,70,71,41.3,54.4,Mutual Funds,Moderate,Tier-2
CUST0000022,60,Male,Business Owner,1.122,0.628,37.55,55.58,8.8,SBI,2,155,118,28.0,62.9,Mutual Funds,Moderate,Tier-2
CUST0000023,60,Male,IT/Tech,0.807,0.656,61.63,35.24,27.74,HDFC Bank,1,122,41,78.4,28.0,Mutual Funds,Moderate,Tier-3
CUST0000024,38,Female,Business Owner,1.684,0.679,20.13,17.65,68.36,SBI,2,84,93,62.9,57.8,Hybrid,Moderate,Tier-2
CUST0000025,46,Male,Retired,0.3,0.227,4.98,2.53,9.91,ICICI Bank,5,190,115,38.7,8.6,Fixed Deposits,Low,Tier-1
CUST0000026,39,Male,Business Owner,2.229,1.163,116.93,109.53,14.44,SBI,8,279,73,81.8,28.8,Mutual Funds,Moderate,Tier-2
CUST0000027,41,Female,Other,0.547,0.245,34.85,4.53,19.31,SBI,5,272,5,37.5,58.7,Fixed Deposits,Low,Tier-2
CUST0000028,33,Female,Retired,0.366,0.258,30.66,25.77,17.57,ICICI Bank,7,139,81,50.6,24.0,Hybrid,Moderate,Tier-3
CUST0000029,60,Male,Government,0.675,0.343,39.0,23.58,28.29,Bank of Baroda,4,96,113,82.3,31.2,Hybrid,Low,Tier-3
CUST0000030,57,Female,Retired,0.3,0.205,15.63,10.8,2.09,SBI,7,269,82,67.4,69.2,Mutual Funds,Low,Tier-2
CUST0000031,50,Female,Retired,0.331,0.277,28.2,18.3,16.79,SBI,1,164,48,78.0,32.8,Hybrid,Low,Tier-1
CUST0000032,49,Female,IT/Tech,0.661,0.556,61.75,9.8,2.83,HDFC Bank,3,206,70,74.0,36.4,Mutual Funds,Moderate,Tier-1
CUST0000033,38,Female,Banking/Finance,0.588,0.283,27.74,26.7,6.64,HDFC Bank,4,225,24,64.4,46.0,Equity,Moderate,Tier-2
